Date,WMT,FB
12/3/2014,78.698837,74.879997
12/4/2014,78.532051,75.239998
12/5/2014,77.939087,76.360001
12/8/2014,78.041008,76.519997
12/9/2014,77.420235,76.839996
12/10/2014,76.882835,76.18
12/11/2014,77.670387,77.730003
12/12/2014,77.651848,77.830002
12/15/2014,77.772316,76.989998
12/16/2014,76.864311,74.690002
12/17/2014,78.041008,76.110001
12/18/2014,79.625351,78.400002
12/19/2014,78.902664,79.879997
12/22/2014,80.033035,81.449997
12/23/2014,80.29245,80.610001
12/24/2014,80.079338,80.769997
12/26/2014,80.524078,80.779999
12/29/2014,80.273911,80.019997
12/30/2014,80.412903,79.220001
12/31/2014,79.569763,78.019997
1/2/2015,79.588287,78.449997
1/5/2015,79.356651,77.190002
1/6/2015,79.968155,76.150002
1/7/2015,82.089905,76.150002
1/8/2015,83.82251,78.18
1/9/2015,82.78479,77.739998
1/12/2015,83.405556,76.720001
1/13/2015,82.747734,76.449997
1/14/2015,80.246132,76.279999
1/15/2015,80.959541,74.050003
1/16/2015,80.394363,75.18
1/20/2015,80.320251,76.239998
1/21/2015,80.273911,76.739998
1/22/2015,81.811943,77.650002
1/23/2015,82.006516,77.830002
1/26/2015,82.117691,77.5
1/27/2015,81.098518,75.779999
1/28/2015,80.440697,76.239998
1/29/2015,81.274567,78
1/30/2015,78.735893,75.910004
2/2/2015,79.412254,74.989998
2/3/2015,79.856987,75.400002
2/4/2015,80.283173,75.629997
2/5/2015,80.86689,75.610001
2/6/2015,80.913223,74.470001
2/9/2015,79.597557,74.440002
2/10/2015,80.876152,75.190002
2/11/2015,79.995964,76.510002
2/12/2015,79.579018,76.230003
2/13/2015,79.504898,75.739998
2/17/2015,79.643875,75.599998
2/18/2015,79.949623,76.709999
2/19/2015,77.383163,79.419998
2/20/2015,78.105865,79.900002
2/23/2015,78.383797,78.839996
2/24/2015,78.35601,78.449997
2/25/2015,77.429489,79.559998
2/26/2015,77.642601,80.410004
2/27/2015,77.763046,78.970001
3/2/2015,77.790833,79.75
3/3/2015,77.244171,79.599998
3/4/2015,76.512222,80.900002
3/5/2015,77.429489,81.209999
3/6/2015,76.5215,80.010002
3/9/2015,76.790192,79.440002
3/10/2015,76.039696,77.550003
3/11/2015,75.210152,77.57
3/12/2015,76.337975,78.93
3/13/2015,76.337975,78.050003
3/16/2015,77.633583,78.07
3/17/2015,77.009087,79.360001
3/18/2015,76.925201,80.910004
